Academic Year,County Code,District Code,School Code,County Name,District Name,School Name,District Type,School Type,"Educational 
Option Type","NSLP 
Provision 
Status","Charter 
School 
(Y/N)","Charter 
School 
Number","Charter 
Funding 
Type",IRC,Low Grade,High Grade,"Enrollment 
(K-12)","Free Meal 
Count 
(K-12)","Percent (%) 
Eligible Free 
(K-12)","FRPM Count 
(K-12)","Percent (%) 
Eligible FRPM 
(K-12)","Enrollment 
(Ages 5-17)","Free Meal 
Count 
(Ages 5-17)","Percent (%) 
Eligible Free 
(Ages 5-17)","FRPM Count 
(Ages 5-17)","Percent (%) 
Eligible FRPM 
(Ages 5-17)","2016-17 
CALPADS Fall 1 
Certification Status"
2016-2017,01,10017,0112607,Alameda,Alameda County Office of Education,Envision Academy for Arts & Technology,County Office of Education (COE),High Schools (Public),Traditional,N/A,Yes,0811,Directly funded,Y,9,12,403,236,58.6%,299,74.2%,381,221,58.0%,283,74.3%,Y
2016-2017,01,10017,0123968,Alameda,Alameda County Office of Education,Community School for Creative Education,County Office of Education (COE),Elementary Schools (Public),Traditional,Breakfast Provision 2,Yes,1284,Directly funded,Y,K,8,208,110,52.9%,134,64.4%,199,104,52.3%,126,63.3%,Y
2016-2017,01,10017,0124172,Alameda,Alameda County Office of Education,Yu Ming Charter,County Office of Education (COE),Elementary Schools (Public),Traditional,N/A,Yes,1296,Directly funded,Y,K,8,357,28,7.8%,33,9.2%,357,28,7.8%,33,9.2%,Y
2016-2017,01,10017,0125567,Alameda,Alameda County Office of Education,Urban Montessori Charter,County Office of Education (COE),Elementary Schools (Public),Traditional,N/A,Yes,1383,Directly funded,Y,K,8,374,87,23.3%,102,27.3%,364,86,23.6%,100,27.5%,Y
2016-2017,01,10017,0130401,Alameda,Alameda County Office of Education,Alameda County Juvenile Hall/Court,County Office of Education (COE),Juvenile Court Schools,Juvenile Court School,N/A,No ,N/A,N/A,N,K,12,99,99,100.0%,99,100.0%,96,96,100.0%,96,100.0%,Y
2016-2017,01,10017,0130419,Alameda,Alameda County Office of Education,Alameda County Community,County Office of Education (COE),County Community,County Community School,N/A,No ,N/A,N/A,N,K,12,242,183,75.6%,197,81.4%,189,141,74.6%,151,79.9%,Y
2016-2017,01,10017,0131581,Alameda,Alameda County Office of Education,Oakland Unity Middle,County Office of Education (COE),Intermediate/Middle Schools (Public),Traditional,N/A,Yes,1707,Directly funded,Y,6,8,149,120,80.5%,142,95.3%,149,120,80.5%,142,95.3%,Y
2016-2017,01,10017,6001788,Alameda,Alameda County Office of Education,Cox Academy,County Office of Education (COE),Elementary Schools (Public),Traditional,N/A,Yes,0740,Directly funded,Y,P,5,588,232,39.5%,232,39.5%,572,227,39.7%,227,39.7%,Y
2016-2017,01,10017,6002000,Alameda,Alameda County Office of Education,Lazear Charter Academy,County Office of Education (COE),Elementary Schools (Public),Traditional,Provision 2,Yes,1464,Directly funded,Y,K,8,462,320,69.3%,387,83.8%,449,310,69.0%,377,84.0%,Y
2016-2017,01,31609,0131755,Alameda,California School for the Blind (State Special Schl),California School for the Blind,State Special Schools,State Special Schools,State Special School,N/A,No ,N/A,N/A,N,1,Adult,39,39,100.0%,39,100.0%,34,34,100.0%,34,100.0%,Y
